,Name,Type,Episodes,Producers,Licensors,Studios,Source,Rating,Ranked,Popularity,Members,Favorites,Watching,Completed,On-Hold,Dropped,Plan to Watch,Action,Adventure,Cars,Comedy,Dementia,Demons,Drama,Ecchi,Fantasy,Game,Harem,Hentai,Historical,Horror,Josei,Kids,Magic,Martial Arts,Mecha,Military,Music,Mystery,Parody,Police,Psychological,Romance,Samurai,School,Sci-Fi,Seinen,Shoujo,Shoujo Ai,Shounen,Shounen Ai,Slice of Life,Space,Sports,Super Power,Supernatural,Thriller,Unknown,Vampire,Yaoi,Yuri,Year,Seconds
35,Space Cobra,TV,31,Fuji TV,"Nozomi Entertainment, Discotek Media",Tokyo Movie Shinsha,Manga,R+ - Mild Nudity,995.0,4046,16026,208,1037,6165,813,561,7450,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1982,1440.0
36,Kurohime: Shikkoku no Yakata,OVA,2,Discovery,Critical Mass Video,Unknown,Unknown,Rx - Hentai,Unknown,7410,3550,10,192,2120,113,128,997,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2002,1800.0
37,Muku na Kisetsu,Music,1,Warner Music Japan,Unknown,Onionskin,Original,G - All Ages,15708.0,16886,92,0,2,76,0,1,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015,180.0
38,Yoza-Quar!,Special,6,Unknown,Unknown,Tatsunoko Production,Manga,PG-13 - Teens 13 or older,5600.0,5283,8270,4,408,2929,235,160,4538,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2013,60.0
39,Medaka no Gakkou,OVA,5,Office AO,Unknown,Unknown,Manga,PG - Children,15495.0,11168,741,0,39,187,14,44,457,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2001,840.0
40,Mujaki no Rakuen,OVA,3,Hakusensha,Unknown,Unknown,Manga,R+ - Mild Nudity,8449.0,3515,21664,45,2829,8627,1119,1087,8002,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2014,1560.0
41,Freedom Previsited,OVA,1,Bandai Visual,"Bandai Entertainment, Bandai Visual USA",Sunrise,Unknown,PG - Children,5977.0,7964,2813,0,47,1826,46,34,860,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2006,360.0
42,KimiKiss Pure Rouge,TV,24,"Bandai Visual, Lantis",Sentai Filmworks,J.C.Staff,Visual novel,PG-13 - Teens 13 or older,2223.0,1665,80052,321,3743,45840,2925,3287,24257,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2007,1440.0
43,Kagayake! Yuujou no V Sign,OVA,1,Shinano Kikaku,Unknown,Toei Animation,Unknown,PG-13 - Teens 13 or older,14767.0,14745,209,0,17,50,6,42,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2005,1500.0
44,Ishuzoku Reviewers,TV,12,"AT-X, Docomo Anime Store, Kadokawa Media House, Kadokawa, Toyo Recording",Unknown,Passione,Manga,R+ - Mild Nudity,1336.0,444,311653,19223,78335,149781,9911,17849,55777,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020,1380.0
